"","x"
"Location_Easting_OSGR",54003921.1335002
"Location_Northing_OSGR",297126516.589471
"Longitude",0.011092644676308
"Latitude",0.0242228281598695
"Police_Force",438.239799394545
"Accident_Severity",0.114295171068218
"Number_of_Vehicles",0.320873884127316
"Number_of_Casualties",16.1033377464985
"Day_of_Week",3.29140826423246
"Local_Authority_.District.",61827.9603163543
"X1st_Road_Class",1.18175465898621
"X1st_Road_Number",1895953.2829768
"Road_Type",1.82332241655634
"Speed_limit",5.53968364573897
"Junction_Detail",4.8368057975054
"Junction_Control",3.11186986582429
"X2nd_Road_Class",5.71123576367113
"X2nd_Road_Number",1059310.5189708
"Pedestrian_Crossing.Human_Control",0.00393313667649951
"Pedestrian_Crossing.Physical_Facilities",5.87817922096021
"Light_Conditions",1.83724130722598
"Weather_Conditions",1.19793045780782
"Road_Surface_Conditions",0.149850184656122
"Special_Conditions_at_Site",0.186365255228052
"Carriageway_Hazards",0.709288551320465
"Urban_or_Rural_Area",0.0192979196184548
"Did_Police_Officer_Attend_Scene_of_Accident",0.12166399554038
